#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:19013443	(2009) Transcription factor expression dynamics of early T-lymphocyte specification and commitment.	30	93	0.69	2.64e-05	9606.ENSP00000177694,9606.ENSP00000253458,9606.ENSP00000264972,9606.ENSP00000265165,9606.ENSP00000266557,9606.ENSP00000288135,9606.ENSP00000301318,9606.ENSP00000306157,9606.ENSP00000330190,9606.ENSP00000332433,9606.ENSP00000339992,9606.ENSP00000340347,9606.ENSP00000344544,9606.ENSP00000344782,9606.ENSP00000349723,9606.ENSP00000350844,9606.ENSP00000368632,9606.ENSP00000376436,9606.ENSP00000378400,9606.ENSP00000380120,9606.ENSP00000382800,9606.ENSP00000384018,9606.ENSP00000386559,9606.ENSP00000386834,9606.ENSP00000398568,9606.ENSP00000412869,9606.ENSP00000431445,9606.ENSP00000436786,9606.ENSP00000457044,9606.ENSP00000477713	TBX21,GSE1,ZAP70,LEF1,CD27,KIT,ZFP28,IL7R,POU6F1,ZSCAN22,MYB,TCF7,IKZF3,GFI1B,BCL11B,PAX5,GATA3,ETS1,LIMA1,RBAK,RUNX3,NCOR2,CD8A,AFF3,PRF1,IKZF2,CD3G,KMT2A,ZFP1,LCK
PMID:33870128	(2021) BCL11B is positioned upstream of PLZF and RORgammat to control thymic development of mucosal-associated invariant T cells and MAIT17 program.	28	81	0.72	2.81e-05	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000229402,9606.ENSP00000231009,9606.ENSP00000240618,9606.ENSP00000248598,9606.ENSP00000264972,9606.ENSP00000297991,9606.ENSP00000306157,9606.ENSP00000310244,9606.ENSP00000318803,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000327025,9606.ENSP00000340347,9606.ENSP00000349723,9606.ENSP00000350681,9606.ENSP00000359663,9606.ENSP00000359719,9606.ENSP00000363435,9606.ENSP00000367013,9606.ENSP00000369636,9606.ENSP00000379330,9606.ENSP00000380150,9606.ENSP00000386559,9606.ENSP00000392043,9606.ENSP00000398655,9606.ENSP00000477713	TBX21,IL2RB,KLRB1,GZMK,KLRK1,FGL2,ZAP70,AQP3,IL7R,RASGRP1,SYTL2,ICOS,CD28,RORC,TCF7,BCL11B,ELK4,CD40LG,PRKACB,ITPR3,TNFRSF25,PXDC1,NFATC2,CARD11,CD8A,ATP2B1,ITK,LCK
PMID:34462601	(2021) Effector differentiation downstream of lineage commitment in ILC1s is driven by Hobit across tissues.	29	88	0.7	3.05e-05	9606.ENSP00000177694,9606.ENSP00000248598,9606.ENSP00000257749,9606.ENSP00000261523,9606.ENSP00000265165,9606.ENSP00000266557,9606.ENSP00000271450,9606.ENSP00000288135,9606.ENSP00000306157,9606.ENSP00000311035,9606.ENSP00000315931,9606.ENSP00000327025,9606.ENSP00000328472,9606.ENSP00000339992,9606.ENSP00000340347,9606.ENSP00000342681,9606.ENSP00000344544,9606.ENSP00000344724,9606.ENSP00000349723,9606.ENSP00000351905,9606.ENSP00000356429,9606.ENSP00000368632,9606.ENSP00000379290,9606.ENSP00000380227,9606.ENSP00000382800,9606.ENSP00000388620,9606.ENSP00000412869,9606.ENSP00000422793,9606.ENSP00000431445	TBX21,FGL2,BACH2,RORA,LEF1,CD27,FCGR2A,KIT,IL7R,CD200R1,AHCYL2,RORC,S1PR5,MYB,TCF7,CD5,IKZF3,TOX2,BCL11B,TGFBR2,RGS1,GATA3,BCAS1,ITGA4,RUNX3,EOMES,IKZF2,INPP4B,CD3G
PMID:36906850	(2023) Strength of CAR signaling determines T cell versus ILC differentiation from pluripotent stem cells.	31	105	0.65	6.31e-05	9606.ENSP00000085219,9606.ENSP00000177694,9606.ENSP00000229402,9606.ENSP00000240618,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000288135,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000311035,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000327025,9606.ENSP00000331172,9606.ENSP00000332812,9606.ENSP00000340347,9606.ENSP00000342681,9606.ENSP00000349723,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000358490,9606.ENSP00000363330,9606.ENSP00000368632,9606.ENSP00000376436,9606.ENSP00000382800,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000412209,9606.ENSP00000431445,9606.ENSP00000451828,9606.ENSP00000477713	CD22,TBX21,KLRB1,KLRK1,ZAP70,CD27,KIT,CD3D,IL7R,CD200R1,ICOS,CD28,RORC,CD8B,PTGDR2,TCF7,CD5,BCL11B,CD3E,CD247,CD2,CD52,GATA3,ETS1,RUNX3,CD8A,EOMES,IL5RA,CD3G,AKT1,LCK
PMID:34917097	(2021) Tcf1 Sustains the Expression of Multiple Regulators in Promoting Early Natural Killer Cell Development.	19	35	0.92	7.23e-05	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000240618,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000306157,9606.ENSP00000312326,9606.ENSP00000340347,9606.ENSP00000345728,9606.ENSP00000354566,9606.ENSP00000357012,9606.ENSP00000357036,9606.ENSP00000360181,9606.ENSP00000368632,9606.ENSP00000376436,9606.ENSP00000382800,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000412869	TBX21,IL2RB,KLRK1,KLRG1,CD27,IL7R,AOC3,TCF7,ATP7A,CD3E,CD244,SLAMF6,SH2D1A,GATA3,ETS1,RUNX3,CD8A,EOMES,IKZF2
PMID:34797299	(2021) Bioinformatics analyses of the pathogenesis and new biomarkers of chronic obstructive pulmonary disease.	16	23	1.02	0.00013	9606.ENSP00000229402,9606.ENSP00000240618,9606.ENSP00000246657,9606.ENSP00000263285,9606.ENSP00000264972,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000324890,9606.ENSP00000331172,9606.ENSP00000342681,9606.ENSP00000357012,9606.ENSP00000359663,9606.ENSP00000368632,9606.ENSP00000398655,9606.ENSP00000431445,9606.ENSP00000477713	KLRB1,KLRK1,CCR7,LY9,ZAP70,CD3D,IL7R,CD28,CD8B,CD5,CD244,CD40LG,GATA3,ITK,CD3G,LCK
PMID:33132754	(2020) Identification of Potential Biomarkers and Immune Features of Sepsis Using Bioinformatics Analysis.	19	37	0.89	0.00013	9606.ENSP00000177694,9606.ENSP00000229402,9606.ENSP00000246657,9606.ENSP00000255409,9606.ENSP00000263341,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000295756,9606.ENSP00000306157,9606.ENSP00000324890,9606.ENSP00000331172,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000358490,9606.ENSP00000360181,9606.ENSP00000386559,9606.ENSP00000398655,9606.ENSP00000431445,9606.ENSP00000477713	TBX21,KLRB1,CCR7,CHI3L1,IL1B,ZAP70,CD27,TRAT1,IL7R,CD28,CD8B,CD3E,CD247,CD2,SH2D1A,CD8A,ITK,CD3G,LCK
PMID:33205009	(2020) Single-Cell Profiling Reveals Divergent, Globally Patterned Immune Responses in Murine Skin Inflammation.	30	106	0.63	0.00022	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000229402,9606.ENSP00000246006,9606.ENSP00000246657,9606.ENSP00000261523,9606.ENSP00000276893,9606.ENSP00000288135,9606.ENSP00000292303,9606.ENSP00000296140,9606.ENSP00000299824,9606.ENSP00000300527,9606.ENSP00000300692,9606.ENSP00000304895,9606.ENSP00000306157,9606.ENSP00000311545,9606.ENSP00000327025,9606.ENSP00000348074,9606.ENSP00000354566,9606.ENSP00000368632,9606.ENSP00000371798,9606.ENSP00000376436,9606.ENSP00000377546,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000412869,9606.ENSP00000433277,9606.ENSP00000438677,9606.ENSP00000441600,9606.ENSP00000491516	TBX21,IL2RB,KLRB1,CD93,CCR7,RORA,UHRF2,KIT,CCR5,CCR1,PPP1R16B,COL6A2,CD3D,IRS1,IL7R,ADGRE1,RORC,CLEC9A,CD3E,GATA3,FSCN1,ETS1,KRT15,CD8A,EOMES,IKZF2,MS4A1,PLD4,CCR3,SCART1
PMID:28436433	(2017) Pathways and Genes Associated with Immune Dysfunction in Sheep Paratuberculosis.	29	99	0.65	0.00022	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000231009,9606.ENSP00000246657,9606.ENSP00000257749,9606.ENSP00000263125,9606.ENSP00000263341,9606.ENSP00000264972,9606.ENSP00000265165,9606.ENSP00000286301,9606.ENSP00000288135,9606.ENSP00000311545,9606.ENSP00000319476,9606.ENSP00000323280,9606.ENSP00000324890,9606.ENSP00000329127,9606.ENSP00000331172,9606.ENSP00000340347,9606.ENSP00000342681,9606.ENSP00000349723,9606.ENSP00000350844,9606.ENSP00000358092,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000368632,9606.ENSP00000386559,9606.ENSP00000410294,9606.ENSP00000433277,9606.ENSP00000477713	TBX21,IL2RB,GZMK,CCR7,BACH2,PRKCQ,IL1B,ZAP70,LEF1,CSF1R,KIT,ADGRE1,ICOS,CD6,CD28,PRKCH,CD8B,TCF7,CD5,BCL11B,PAX5,PRDM1,CD2,CD40LG,GATA3,CD8A,FGFR2,MS4A1,LCK
PMID:24119000	(2014) Meta-analysis on blood transcriptomic studies identifies consistently coexpressed protein-protein interaction modules as robust markers of human aging.	21	50	0.8	0.00024	9606.ENSP00000229595,9606.ENSP00000246657,9606.ENSP00000248643,9606.ENSP00000257749,9606.ENSP00000258443,9606.ENSP00000263239,9606.ENSP00000265165,9606.ENSP00000266557,9606.ENSP00000291539,9606.ENSP00000298139,9606.ENSP00000305529,9606.ENSP00000324890,9606.ENSP00000362187,9606.ENSP00000367407,9606.ENSP00000368314,9606.ENSP00000384169,9606.ENSP00000397312,9606.ENSP00000398568,9606.ENSP00000416341,9606.ENSP00000430269,9606.ENSP00000481056	ASF1A,CCR7,MTERF1,BACH2,EDAR,DDX18,LEF1,CD27,PDE9A,WRN,SIRPG,CD28,FAM102A,NMT2,NRCAM,FBLN2,LRRN3,PRF1,NELL2,EPHX2,FCGBP
PMID:34349770	(2021) ZBTB Transcription Factors: Key Regulators of the Development, Differentiation and Effector Function of T Cells.	34	137	0.58	0.00025	9606.ENSP00000177694,9606.ENSP00000246657,9606.ENSP00000261523,9606.ENSP00000266269,9606.ENSP00000266557,9606.ENSP00000288135,9606.ENSP00000306157,9606.ENSP00000314080,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000326119,9606.ENSP00000327025,9606.ENSP00000340347,9606.ENSP00000357036,9606.ENSP00000358092,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000360181,9606.ENSP00000365596,9606.ENSP00000367705,9606.ENSP00000368632,9606.ENSP00000379330,9606.ENSP00000381185,9606.ENSP00000382800,9606.ENSP00000384018,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398568,9606.ENSP00000398655,9606.ENSP00000408617,9606.ENSP00000419085,9606.ENSP00000431445,9606.ENSP00000450969,9606.ENSP00000477713	TBX21,CCR7,RORA,PATZ1,CD27,KIT,IL7R,HIC1,ICOS,CD28,PMAIP1,RORC,TCF7,SLAMF6,PRDM1,CD2,CD40LG,SH2D1A,GPR183,BCOR,GATA3,NFATC2,BCL2,RUNX3,NCOR2,CD8A,EOMES,PRF1,ITK,HDAC9,TIGIT,CD3G,ZBTB33,LCK
PMID:28514688	(2017) The E-Id Protein Axis Specifies Adaptive Lymphoid Cell Identity and Suppresses Thymic Innate Lymphoid Cell Development.	25	74	0.71	0.00025	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000257770,9606.ENSP00000261523,9606.ENSP00000264972,9606.ENSP00000266551,9606.ENSP00000267082,9606.ENSP00000271450,9606.ENSP00000288135,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000312326,9606.ENSP00000319476,9606.ENSP00000327025,9606.ENSP00000340347,9606.ENSP00000344724,9606.ENSP00000349723,9606.ENSP00000354566,9606.ENSP00000360181,9606.ENSP00000368632,9606.ENSP00000376436,9606.ENSP00000382800,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000477713	TBX21,IL2RB,NT5E,RORA,ZAP70,KLRG1,ITGB7,FCGR2A,KIT,CD3D,IL7R,AOC3,ICOS,RORC,TCF7,TOX2,BCL11B,CD3E,SH2D1A,GATA3,ETS1,RUNX3,CD8A,EOMES,LCK
PMID:24293448	(2014) The peripheral whole-blood transcriptome of acute pyelonephritis in human pregnancya.	25	74	0.71	0.00025	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000244174,9606.ENSP00000246657,9606.ENSP00000261693,9606.ENSP00000263125,9606.ENSP00000263341,9606.ENSP00000264972,9606.ENSP00000266557,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000323280,9606.ENSP00000324890,9606.ENSP00000331172,9606.ENSP00000340347,9606.ENSP00000353731,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000356058,9606.ENSP00000368632,9606.ENSP00000381185,9606.ENSP00000386559,9606.ENSP00000398655,9606.ENSP00000412209,9606.ENSP00000477713	TBX21,IL2RB,IL9R,CCR7,SCARB1,PRKCQ,IL1B,ZAP70,CD27,CD3D,IL7R,CD6,CD28,CD8B,TCF7,DPP4,CD3E,CD247,FCMR,GATA3,BCL2,CD8A,ITK,IL5RA,LCK
PMID:35982155	(2022) Heterogeneity of circulating CD4(+)CD8(+) double-positive T cells characterized by scRNA-seq analysis and trajectory inference.	24	69	0.72	0.00029	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000229402,9606.ENSP00000231009,9606.ENSP00000240618,9606.ENSP00000246657,9606.ENSP00000261523,9606.ENSP00000265165,9606.ENSP00000266551,9606.ENSP00000297991,9606.ENSP00000319476,9606.ENSP00000327025,9606.ENSP00000331172,9606.ENSP00000332812,9606.ENSP00000340347,9606.ENSP00000354566,9606.ENSP00000359663,9606.ENSP00000368632,9606.ENSP00000380227,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398568,9606.ENSP00000412869,9606.ENSP00000478255	TBX21,IL2RB,KLRB1,GZMK,KLRK1,CCR7,RORA,LEF1,KLRG1,AQP3,ICOS,RORC,CD8B,PTGDR2,TCF7,CD3E,CD40LG,GATA3,ITGA4,CD8A,EOMES,PRF1,IKZF2,ABCB1
